2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbf182c1-30d3-4d4c-908b-81d1cdc7906e, number=87163, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201311/16830.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbf2af09-7e7e-40c9-b6f6-3c4ff27cb7c0, number=9688, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/lunli/9688.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbf46736-1631-4df8-80ea-d14a523c6203, number=29043, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201111/29043.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbf60ee8-ee28-4bd4-a6a8-3c2ce2fef85f, number=44958, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201200/44958.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbf95fea-d2bc-4200-9290-e397b4504050, number=30003, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201111/30003.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbfbe133-aa64-4d4b-9533-dd2e0bc3f128, number=87570, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201401/17237.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc00a084-3308-4fab-b749-0b40ae3bee54, number=87950, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201401/17617.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc025bf3-10a7-43d4-a398-9ff70067c479, number=83148, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201207/83148.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc0408dd-4d8b-4d86-a362-08b70af9cd45, number=29006, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201111/29006.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc05dc2a-ca19-48a9-9e78-817128f6bfb2, number=87675, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201401/17342.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc0a1963-7209-433a-bbda-b66468dba943, number=9250, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/lunli/9250.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc0be3d6-b72f-493e-bbd2-863eea2bbef1, number=9709, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/lunli/9709.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc101f5e-8771-4c9b-bccf-d0fc650957de, number=83346, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201208/83346.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc10a590-1f0c-4c2f-8a5f-7f9609104fe0, number=9532, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/lunli/9532.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc118606-4d6a-4ae9-82a5-ac4f3709c82f, number=12490, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201109/12490.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc12275d-0fb0-4c26-9174-5d7962533485, number=12780, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201109/12780.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc124a1b-3e00-4a97-8665-4f319cffac17, number=22017, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201201/22017.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc195700-8573-47d6-a0b0-1ce9ccdd734d, number=83707, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201209/83707.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc1a65cb-4ecd-47e1-8297-81d496fcf029, number=29404, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201111/29404.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc208277-57ed-4a3f-b7ad-6b685ab58c46, number=26185, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201201/26185.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc272260-cebd-4fb1-92ce-ed5b5b56c48e, number=34880, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201110/34880.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fc2fb8db-81b1-4dd6-97c5-80ae9fa0e48e, number=86224, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201308/15891.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
